ts_local,date,hour,price,area,reserveType,direction
2025-01-01 00:00:00,2025-01-01,00:00,16.08,NO1,A96,A01
2025-01-01 01:00:00,2025-01-01,01:00,7.0,NO1,A96,A01
2025-01-01 02:00:00,2025-01-01,02:00,10.06,NO1,A96,A01
2025-01-01 03:00:00,2025-01-01,03:00,10.61,NO1,A96,A01
2025-01-01 04:00:00,2025-01-01,04:00,11.93,NO1,A96,A01
2025-01-01 05:00:00,2025-01-01,05:00,18.3,NO1,A96,A01
2025-01-01 06:00:00,2025-01-01,06:00,16.4,NO1,A96,A01
2025-01-01 07:00:00,2025-01-01,07:00,14.99,NO1,A96,A01
2025-01-01 08:00:00,2025-01-01,08:00,13.27,NO1,A96,A01
2025-01-01 09:00:00,2025-01-01,09:00,12.5,NO1,A96,A01
2025-01-01 10:00:00,2025-01-01,10:00,11.93,NO1,A96,A01
2025-01-01 11:00:00,2025-01-01,11:00,10.0,NO1,A96,A01
2025-01-01 12:00:00,2025-01-01,12:00,8.77,NO1,A96,A01
2025-01-01 13:00:00,2025-01-01,13:00,10.0,NO1,A96,A01
2025-01-01 14:00:00,2025-01-01,14:00,9.18,NO1,A96,A01
2025-01-01 15:00:00,2025-01-01,15:00,11.93,NO1,A96,A01
2025-01-01 16:00:00,2025-01-01,16:00,10.15,NO1,A96,A01
2025-01-01 17:00:00,2025-01-01,17:00,8.16,NO1,A96,A01
2025-01-01 18:00:00,2025-01-01,18:00,11.93,NO1,A96,A01
2025-01-01 19:00:00,2025-01-01,19:00,11.93,NO1,A96,A01
2025-01-01 20:00:00,2025-01-01,20:00,11.93,NO1,A96,A01
2025-01-01 21:00:00,2025-01-01,21:00,11.93,NO1,A96,A01
2025-01-01 22:00:00,2025-01-01,22:00,11.93,NO1,A96,A01
2025-01-01 23:00:00,2025-01-01,23:00,9.18,NO1,A96,A01
2025-01-02 00:00:00,2025-01-02,00:00,10.06,NO1,A96,A01
2025-01-02 01:00:00,2025-01-02,01:00,7.5,NO1,A96,A01
2025-01-02 02:00:00,2025-01-02,02:00,4.69,NO1,A96,A01
2025-01-02 03:00:00,2025-01-02,03:00,5.5,NO1,A96,A01
2025-01-02 04:00:00,2025-01-02,04:00,5.0,NO1,A96,A01
2025-01-02 05:00:00,2025-01-02,05:00,9.5,NO1,A96,A01
2025-01-02 06:00:00,2025-01-02,06:00,23.0,NO1,A96,A01
2025-01-02 07:00:00,2025-01-02,07:00,23.0,NO1,A96,A01
2025-01-02 08:00:00,2025-01-02,08:00,24.0,NO1,A96,A01
2025-01-02 09:00:00,2025-01-02,09:00,21.0,NO1,A96,A01
2025-01-02 10:00:00,2025-01-02,10:00,22.0,NO1,A96,A01
2025-01-02 11:00:00,2025-01-02,11:00,21.0,NO1,A96,A01
2025-01-02 12:00:00,2025-01-02,12:00,19.0,NO1,A96,A01
2025-01-02 13:00:00,2025-01-02,13:00,17.5,NO1,A96,A01
2025-01-02 14:00:00,2025-01-02,14:00,16.0,NO1,A96,A01
2025-01-02 15:00:00,2025-01-02,15:00,19.0,NO1,A96,A01
2025-01-02 16:00:00,2025-01-02,16:00,29.0,NO1,A96,A01
2025-01-02 17:00:00,2025-01-02,17:00,32.0,NO1,A96,A01
2025-01-02 18:00:00,2025-01-02,18:00,34.0,NO1,A96,A01
2025-01-02 19:00:00,2025-01-02,19:00,26.0,NO1,A96,A01
2025-01-02 20:00:00,2025-01-02,20:00,15.0,NO1,A96,A01
2025-01-02 21:00:00,2025-01-02,21:00,14.0,NO1,A96,A01
2025-01-02 22:00:00,2025-01-02,22:00,15.0,NO1,A96,A01
2025-01-02 23:00:00,2025-01-02,23:00,13.0,NO1,A96,A01
2025-01-03 00:00:00,2025-01-03,00:00,13.0,NO1,A96,A01
2025-01-03 01:00:00,2025-01-03,01:00,9.0,NO1,A96,A01
2025-01-03 02:00:00,2025-01-03,02:00,8.5,NO1,A96,A01
2025-01-03 03:00:00,2025-01-03,03:00,11.93,NO1,A96,A01
2025-01-03 04:00:00,2025-01-03,04:00,11.93,NO1,A96,A01
2025-01-03 05:00:00,2025-01-03,05:00,13.5,NO1,A96,A01
2025-01-03 06:00:00,2025-01-03,06:00,16.5,NO1,A96,A01
2025-01-03 07:00:00,2025-01-03,07:00,45.0,NO1,A96,A01
2025-01-03 08:00:00,2025-01-03,08:00,69.5,NO1,A96,A01
2025-01-03 09:00:00,2025-01-03,09:00,56.0,NO1,A96,A01
2025-01-03 10:00:00,2025-01-03,10:00,69.5,NO1,A96,A01
2025-01-03 11:00:00,2025-01-03,11:00,42.0,NO1,A96,A01
2025-01-03 12:00:00,2025-01-03,12:00,46.5,NO1,A96,A01
2025-01-03 13:00:00,2025-01-03,13:00,54.5,NO1,A96,A01
2025-01-03 14:00:00,2025-01-03,14:00,55.5,NO1,A96,A01
2025-01-03 15:00:00,2025-01-03,15:00,57.5,NO1,A96,A01
2025-01-03 16:00:00,2025-01-03,16:00,41.5,NO1,A96,A01
2025-01-03 17:00:00,2025-01-03,17:00,51.0,NO1,A96,A01
2025-01-03 18:00:00,2025-01-03,18:00,46.5,NO1,A96,A01
2025-01-03 19:00:00,2025-01-03,19:00,46.0,NO1,A96,A01
2025-01-03 20:00:00,2025-01-03,20:00,35.0,NO1,A96,A01
2025-01-03 21:00:00,2025-01-03,21:00,20.0,NO1,A96,A01
2025-01-03 22:00:00,2025-01-03,22:00,16.0,NO1,A96,A01
2025-01-03 23:00:00,2025-01-03,23:00,12.0,NO1,A96,A01
